periodo_dt,periodo,plataforma,total_posts,engagement_total,engagement_promedio,controversia_total,viralidad_promedio,semana_label
2026-05-18 16:58:17.879,2026-W21,facebook,1,291022,291022.0,0,0.0,2026-05-18
2026-05-18 16:58:34.394,2026-W21,facebook,1,46,46.0,0,0.0,2026-05-18
2026-05-18 16:58:44.081,2026-W21,facebook,1,83,83.0,0,0.0,2026-05-18
2026-05-18 16:58:53.432,2026-W21,facebook,2,3391,1695.5,0,0.0,2026-05-18
2026-05-18 16:59:02.864,2026-W21,facebook,1,1452,1452.0,0,0.0,2026-05-18
2026-05-18 16:59:11.605,2026-W21,facebook,1,1114,1114.0,0,0.0,2026-05-18
2026-05-18 16:59:23.495,2026-W21,facebook,1,721,721.0,0,0.0,2026-05-18
2026-05-18 17:00:41.478,2026-W21,facebook,1,2428,2428.0,0,0.0,2026-05-18
2026-05-18 17:00:50.335,2026-W21,facebook,1,533,533.0,0,0.0,2026-05-18
2026-05-18 17:00:59.188,2026-W21,facebook,2,7405,3702.5,0,0.0,2026-05-18
2026-05-18 17:01:23.000,2026-W21,facebook,1,2631,2631.0,0,0.0,2026-05-18
2026-05-18 17:01:23.001,2026-W21,facebook,1,593,593.0,0,0.0,2026-05-18
2026-05-18 17:01:30.863,2026-W21,facebook,2,183028,91514.0,0,0.0,2026-05-18
2026-05-18 17:01:38.888,2026-W21,facebook,1,1814,1814.0,0,0.0,2026-05-18
2026-05-18 17:01:55.114,2026-W21,facebook,1,65000,65000.0,0,0.0,2026-05-18
2026-05-18 17:02:03.280,2026-W21,facebook,1,1624,1624.0,0,0.0,2026-05-18
2026-05-18 17:02:13.268,2026-W21,facebook,1,350,350.0,0,0.0,2026-05-18
2026-05-18 17:02:13.269,2026-W21,facebook,1,1946,1946.0,0,0.0,2026-05-18
2026-05-18 17:02:22.526,2026-W21,facebook,1,631,631.0,0,0.0,2026-05-18
2026-05-18 17:02:47.594,2026-W21,facebook,1,1335,1335.0,0,0.0,2026-05-18
2026-05-18 17:02:47.595,2026-W21,facebook,1,12113,12113.0,0,0.0,2026-05-18
2026-05-18 17:02:57.042,2026-W21,facebook,1,13473,13473.0,0,0.0,2026-05-18
2026-05-18 17:02:57.043,2026-W21,facebook,1,2152,2152.0,0,0.0,2026-05-18
2026-05-18 17:03:05.259,2026-W21,facebook,1,17637,17637.0,0,0.0,2026-05-18
2026-05-18 17:03:12.831,2026-W21,facebook,1,299000,299000.0,0,0.0,2026-05-18
2026-05-18 17:03:21.992,2026-W21,facebook,1,4158,4158.0,0,0.0,2026-05-18
2026-05-18 17:03:31.268,2026-W21,facebook,1,655,655.0,0,0.0,2026-05-18
2026-05-18 17:03:31.269,2026-W21,facebook,1,1112,1112.0,0,0.0,2026-05-18
2026-05-18 17:03:42.216,2026-W21,facebook,2,2952,1476.0,0,0.0,2026-05-18
2026-05-18 17:03:42.217,2026-W21,facebook,1,43120,43120.0,0,0.0,2026-05-18
2026-05-18 17:03:42.223,2026-W21,facebook,1,179004,179004.0,0,0.0,2026-05-18
2026-05-18 17:03:51.903,2026-W21,facebook,1,1808,1808.0,0,0.0,2026-05-18
2026-05-18 17:03:59.685,2026-W21,facebook,1,99,99.0,0,0.0,2026-05-18
2026-05-18 17:03:59.686,2026-W21,facebook,2,184272,92136.0,0,0.0,2026-05-18
2026-05-18 17:04:08.390,2026-W21,facebook,1,51000,51000.0,0,0.0,2026-05-18
2026-05-18 17:04:08.391,2026-W21,facebook,1,24400,24400.0,0,0.0,2026-05-18
2026-05-18 17:04:20.255,2026-W21,facebook,1,24400,24400.0,0,0.0,2026-05-18
2026-05-18 17:04:20.257,2026-W21,facebook,1,51000,51000.0,0,0.0,2026-05-18
2026-05-18 17:04:20.258,2026-W21,facebook,1,1605,1605.0,0,0.0,2026-05-18
2026-05-18 17:04:20.259,2026-W21,facebook,1,250,250.0,0,0.0,2026-05-18
2026-05-18 17:04:20.260,2026-W21,facebook,1,2307,2307.0,0,0.0,2026-05-18
2026-05-18 17:04:20.261,2026-W21,facebook,1,527000,527000.0,0,0.0,2026-05-18
