post_id,plataforma,total_comentarios,pct_positivo,pct_negativo,pct_neutral,score_sentimiento
7608793973179632903,tiktok,3,33.3,0.0,66.7,0.333
7610178046405905685,tiktok,6,16.7,16.7,66.7,0.0
7610610105624579349,tiktok,6,50.0,0.0,50.0,0.5
7610864762255133973,tiktok,22,13.6,4.5,81.8,0.091
7610892896895651093,tiktok,3,0.0,0.0,100.0,0.0
7610949395508382997,tiktok,3,0.0,0.0,100.0,0.0
7611222130415504660,tiktok,4,0.0,0.0,100.0,0.0
7611222411047980308,tiktok,7,14.3,0.0,85.7,0.143
7611270880991268116,tiktok,5,0.0,0.0,100.0,0.0
7611345652492127508,tiktok,3,66.7,0.0,33.3,0.667
7611355098949668116,tiktok,3,0.0,0.0,100.0,0.0
7611602938225560853,tiktok,3,0.0,0.0,100.0,0.0
7611605107385453845,tiktok,3,33.3,0.0,66.7,0.333
7611708461704940820,tiktok,9,11.1,0.0,88.9,0.111
7613058607411662100,tiktok,3,0.0,0.0,100.0,0.0
7613454651265961236,tiktok,4,0.0,0.0,100.0,0.0
7615753652556369173,tiktok,4,25.0,0.0,75.0,0.25
7616846685506948372,tiktok,3,0.0,0.0,100.0,0.0
7618334374714543380,tiktok,3,0.0,0.0,100.0,0.0
7619021991718276372,tiktok,20,15.0,5.0,80.0,0.1
7619023668433210644,tiktok,4,25.0,0.0,75.0,0.25
7620583314243718420,tiktok,6,33.3,0.0,66.7,0.333
7620585055697554708,tiktok,6,0.0,0.0,100.0,0.0
7620880564584795413,tiktok,4,25.0,0.0,75.0,0.25
7621035365306076436,tiktok,11,36.4,0.0,63.6,0.364
7621597971766955285,tiktok,3,100.0,0.0,0.0,1.0
7621686174205185301,tiktok,4,0.0,0.0,100.0,0.0
7621730070213840149,tiktok,5,20.0,0.0,80.0,0.2
7622053385805630740,tiktok,4,0.0,0.0,100.0,0.0
7622120394778070293,tiktok,9,0.0,0.0,100.0,0.0
7622133378313162005,tiktok,20,15.0,5.0,80.0,0.1
7622149103337737493,tiktok,5,0.0,0.0,100.0,0.0
7622149716112837909,tiktok,6,0.0,0.0,100.0,0.0
7622328430670941461,tiktok,6,0.0,0.0,100.0,0.0
7622738488479190293,tiktok,7,28.6,0.0,71.4,0.286
7622841163191553300,tiktok,5,0.0,0.0,100.0,0.0
7626507714264354069,tiktok,3,0.0,0.0,100.0,0.0
7626508214221163796,tiktok,3,0.0,33.3,66.7,-0.333
7626858065228467476,tiktok,3,33.3,0.0,66.7,0.333
7627274559229578517,tiktok,9,11.1,0.0,88.9,0.111
7629087857352772884,tiktok,3,33.3,0.0,66.7,0.333
7629836853704658197,tiktok,3,0.0,0.0,100.0,0.0
7630867554159938836,tiktok,9,44.4,0.0,55.6,0.444
7631005562494373140,tiktok,4,25.0,0.0,75.0,0.25
7631333193538489621,tiktok,4,0.0,25.0,75.0,-0.25
7632327852578426133,tiktok,23,13.0,0.0,87.0,0.13
7632369507977268501,tiktok,3,33.3,0.0,66.7,0.333
7632729242979110164,tiktok,3,0.0,0.0,100.0,0.0
7633205029909925140,tiktok,13,0.0,0.0,100.0,0.0
7633554472765099284,tiktok,6,16.7,0.0,83.3,0.167
7635500584103087380,tiktok,4,75.0,25.0,0.0,0.5
7635517098810150165,tiktok,5,0.0,0.0,100.0,0.0
7636097329300278546,tiktok,76,19.7,0.0,80.3,0.197
7636128671660576021,tiktok,3,0.0,0.0,100.0,0.0
7636611850662104341,tiktok,5,0.0,20.0,80.0,-0.2
7636613554895949076,tiktok,5,20.0,20.0,60.0,0.0
7637257773633506581,tiktok,11,9.1,0.0,90.9,0.091
7637697336159784213,tiktok,4,0.0,0.0,100.0,0.0
7638055766519237908,tiktok,4,0.0,0.0,100.0,0.0
7638068436454755604,tiktok,4,0.0,0.0,100.0,0.0
7638101558651079957,tiktok,10,0.0,10.0,90.0,-0.1
7638292450569669908,tiktok,3,0.0,0.0,100.0,0.0
7639060748089445653,tiktok,8,25.0,0.0,75.0,0.25
7639836124122287381,tiktok,5,20.0,0.0,80.0,0.2
7640731782509301013,tiktok,10,0.0,0.0,100.0,0.0
7640880837663149333,tiktok,20,0.0,0.0,100.0,0.0
7641009983118789908,tiktok,3,0.0,0.0,100.0,0.0
7641026297585569045,tiktok,3,0.0,0.0,100.0,0.0
7641045110972550421,tiktok,240,5.0,0.4,94.6,0.046
7641046526042656021,tiktok,3,0.0,0.0,100.0,0.0
7641048897044958485,tiktok,64,15.6,0.0,84.4,0.156
7641051873750928660,tiktok,3,0.0,0.0,100.0,0.0
7641057485033377044,tiktok,16,6.2,0.0,93.8,0.062
7641084911117536533,tiktok,24,0.0,0.0,100.0,0.0
7641284330228141332,tiktok,3,0.0,0.0,100.0,0.0
7641386599732956436,tiktok,7,0.0,0.0,100.0,0.0
7641437369199103253,tiktok,4,0.0,0.0,100.0,0.0
7641631069661334805,tiktok,68,14.7,0.0,85.3,0.147
7641646800822144276,tiktok,32,12.5,0.0,87.5,0.125
7642460621518277908,tiktok,3,0.0,0.0,100.0,0.0
7642756507658112277,tiktok,3,0.0,33.3,66.7,-0.333
7643200544827247892,tiktok,3,0.0,0.0,100.0,0.0
7643278242056654100,tiktok,21,9.5,0.0,90.5,0.095
7643279169937247509,tiktok,34,11.8,0.0,88.2,0.118
7643280658327948565,tiktok,9,22.2,0.0,77.8,0.222
7643288460534631701,tiktok,6,0.0,0.0,100.0,0.0
7643289484787748116,tiktok,3,0.0,0.0,100.0,0.0
7643303526663277845,tiktok,3,0.0,0.0,100.0,0.0
7643339083753803028,tiktok,7,14.3,0.0,85.7,0.143
7643340361791835413,tiktok,7,14.3,0.0,85.7,0.143
7643347412647529748,tiktok,4,25.0,0.0,75.0,0.25
7643371570144005396,tiktok,5,0.0,0.0,100.0,0.0
7643373230866156821,tiktok,4,25.0,0.0,75.0,0.25
7643378390967258389,tiktok,10,0.0,0.0,100.0,0.0
7643386321217572117,tiktok,5,0.0,0.0,100.0,0.0
pfbid017TSoF6hYgjaYv7wtVgwQcoez4zrGcWzqEVr3t7JtqtDS9f5XdBUuoFzd2K9ZzTpl,facebook,7,0.0,0.0,100.0,0.0
pfbid024mS3MQ965jKUjQfQgGNc29goBQC782BSkJysv6g2igcoGLjJUEXWcSJ3tA8kfnJLl_3,facebook,3,0.0,0.0,100.0,0.0
pfbid02E6twJE7gwKym8HTcpHZKpKLtcspUyZpRd5ieJLbiBdQAUd11TbcS3mhksrkppGiCl,facebook,11,0.0,0.0,100.0,0.0
pfbid02ExUf6EmNRFMK8T3GFbxL4rzmcao8UCkFRy5Qkuqmo7rtBEbgNuJP29vRSej3WEJ3l,facebook,10,0.0,0.0,100.0,0.0
pfbid02HiFYhWJYnQCiPPRLp4Xqpcm6HTwY718FzuKAqK1tFQdxLLKFMVDC6yVqzTwTr37ul,facebook,5,0.0,0.0,100.0,0.0
pfbid02JP8YQtdR7zJK314ZCBqQxEQTfyGeHq2nBCwPsmGgEENSxYQSTVyaEWbfEBPBZaCdl_4,facebook,8,0.0,0.0,100.0,0.0
pfbid02LCxNMGy2i8WCK7PmRGXUMWLg9W5KkPzQs2ky1HQDwJqaDRxaJn7wFKKNHpH1PmN8l,facebook,9,0.0,0.0,100.0,0.0
pfbid02P9DN9Ebg3DFsDGQj6JQb4JqKsGSuYKpH8z2y67ZTNdj3c6kFS4wJuAk1RkhYD3V3l,facebook,3,0.0,0.0,100.0,0.0
pfbid02Pq5LsD5QtrLxWy7N2yYtpxEs3z5CaRujitb7xTEUD7y9Apd16hbw1YpHrn2gBokhl,facebook,8,0.0,0.0,100.0,0.0
pfbid02Px4hvwjtUCxWEezTnNnDgDHyXxqjHszWkqHTjX3a2kVQm6gDxYU8esy7MBdHYoJGl_4,facebook,12,0.0,0.0,100.0,0.0
pfbid02R5GEuAxSYZbnWcdKMoJAQNQX2JkPNtdh6y1GusrDYAatU2KpqQASYLVBMvK9TGTMl,facebook,4,0.0,0.0,100.0,0.0
pfbid02RPwMvbNoTU6VpgYagHtSiWZwftKq16DfJWLf7YLWuroqPQg3vqVWhLzaxjZ96kVrl,facebook,8,0.0,0.0,100.0,0.0
pfbid02YaTwwZwEG7eGhLXLJ4z5Y4LoFD1N8USRWKHLHvgLYaAvqnVAEJZN9RuWwKvUBNw2l,facebook,4,0.0,0.0,100.0,0.0
pfbid02ZGDciaJJ2RNTDxgdaUgtKkFAwhf6LgAr8VG2rAJHMnQWEQuegGte6853eD9cwXCml,facebook,8,0.0,0.0,100.0,0.0
pfbid02basfiTtQhx5gcfhmxzaJZk7oNqQL98XDB4odJfJdncVQYvkknPkpS71NkAoEKL3hl_1,facebook,7,0.0,0.0,100.0,0.0
pfbid02d1YeVtDoUpjZhoCmcj1U1bY2tAruHmYTi88eN5TC2VJePZHTKSpKQxQNMNZ7UKcTl,facebook,9,0.0,0.0,100.0,0.0
pfbid02fmeZgzfQUE8s87ANhrLe3DhrMddDGNdPC4bNaNTUSZ5CKRMAwgCn1751CD888ZMkl,facebook,6,0.0,0.0,100.0,0.0
